doculect,glottologFamily,iso,population,latitude,longitude,continent,nPhonemes
GURINDJI,Pama-Nyungan,gue,590,-17.67,130.67,Oceania,21
TENHARIM,Tupian,pah,580,-8.0,-62.0,SouthAmerica,26
PITJANTJATJARA_YANKUNTJATJARA,Pama-Nyungan,kdd,560,-27.0,132.0,Oceania,23
TAPIRAPE,Tupian,taf,560,-10.58,-50.67,SouthAmerica,23
CHACOBO,Pano-Tacanan,cao,550,-12.17,-66.75,SouthAmerica,21
WAIMAHA_2,Tucanoan,bao,539,0.33,-70.25,SouthAmerica,25
KOKOTA,Austronesian,kkk,530,-8.0,159.13,Oceania,27
YAWANAWA,Pano-Tacanan,ywn,520,-8.62,-71.83,SouthAmerica,18
AMAHUACA,Pano-Tacanan,amc,520,-10.5,-72.5,SouthAmerica,22
WALMAJARRI,Pama-Nyungan,wmt,510,-19.5,125.75,Oceania,23
TLINGIT,Athabaskan-Eyak-Tlingit,tli,502,59.0,-135.0,NorthAmerica,48
SOUTHERN_MAO,Ta-Ne-Omotic,myo,500,8.67,34.5,Africa,48
SIONA,Tucanoan,snn,500,0.33,-76.25,SouthAmerica,30
BU,Atlantic-Congo,boe,500,6.58,10.25,Africa,38
YUHUP,Nadahup,yab,500,0.0,-69.0,SouthAmerica,35
KASONG,Austroasiatic,cog,500,12.25,102.83,Asia,40
JICARILLA_APACHE,Athabaskan-Eyak-Tlingit,apj,460,36.58,-104.0,NorthAmerica,56
HOAVA,Austronesian,hoa,460,-8.08,157.5,Oceania,21
SHARANAHUA,Pano-Tacanan,mcd,453,-11.0,-70.0,SouthAmerica,22
APALAI,Cariban,apy,450,0.0,-54.0,SouthAmerica,24
TIPAI,Cochimi-Yuman,dih,440,32.17,-116.5,SouthAmerica,34
ISAKA,Sko,ksi,420,-2.83,141.28,Oceania,18
GOONIYANDI,Bunaban,gni,410,-18.47,126.33,Oceania,23
TATUYO,Tucanoan,tav,400,0.75,-70.5,SouthAmerica,17
H42_HUNGANA_2,Atlantic-Congo,hum,400,-3.67,18.42,Africa,33
CACUA,Kakua-Nukak,cbv,400,1.08,-70.0,SouthAmerica,22
SHABO,Shabo,sbf,400,7.58,35.42,Africa,43
DAHALO,Afro-Asiatic,dal,400,-2.33,40.5,Africa,59
KAMAYURA,Tupian,kay,400,-12.08,-52.58,SouthAmerica,26
NADEB,Nadahup,mbj,400,-1.0,-66.5,SouthAmerica,34
SIRIONO,Tupian,srq,400,-15.58,-64.0,SouthAmerica,28
MANANGE,Sino-Tibetan,nmm,390,28.4,84.01,Asia,45
PANARA,Nuclear-Macro-Je,kre,375,-11.3,-53.0,SouthAmerica,26
KOLYMA_YUKAGIR,Yukaghir,yux,370,65.75,150.83,Asia,33
YUKAGHIR_TUNDRA,Yukaghir,ykg,370,69.0,155.0,Asia,32
ANDOQUE,Andoque,ano,370,-0.67,-72.0,SouthAmerica,26
BINUMARIEN,Nuclear_Trans_New_Guinea,bjr,360,-6.28,146.08,Oceania,16
TAPIETE,Tupian,tpj,360,-19.75,-61.67,SouthAmerica,27
PIRAHA,Mura-Piraha,myp,360,-7.0,-62.0,SouthAmerica,11
ULWA,Misumalpan,ulw,350,13.0,-84.5,SouthAmerica,28
SUYA,Nuclear-Macro-Je,suy,350,-11.1,-53.1,SouthAmerica,28
